id; lamport; mensagem
4;1;Is man merely a mistake of God's? Or God merely a mistake of man's
1;5;God is dead! He remains dead! And we have killed him
2;5;Is man merely a mistake of God's? Or God merely a mistake of man's
3;12;Happiness is not an ideal of reason but of imagination
1;16;All great thinkers are initially ridiculed  and eventually revered
4;16;Life must be understood backward. But it must be lived forward
2;19;We are what we repeatedly do. Excellence, then, is not an act, but a habit
3;26;I can control my passions and emotions if I can understand their nature
1;30;Man is the measure of all things
4;30;It is the job of thinking people not to be on the side of the executioners
2;36;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
3;40;Man is the measure of all things
1;44;If God did not exist, it would be necessary to invent Him
4;48;Whereof one cannot speak, thereof one must be silent
2;50;Man is the measure of all things
3;55;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;59;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
4;59;Life must be understood backward. But it must be lived forward
2;66;The unexamined life is not worth living
3;70;Philosophy is at once the most sublime and the most trivial of human pursuits
1;74;He who thinks great thoughts, often makes great errors
4;74;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
2;81;Happiness is the highest good
3;85;One cannot step twice in the same river
1;89;If God did not exist, it would be necessary to invent Him
4;89;Salvation not shared, is salvation wasted
2;96;Virtue is nothing else than right reaso
3;100;In everything, there is a share of everything
4;104;In everything, there is a share of everything
1;106;The function of prayer is not to influence God, but rather to change the nature of the one who prays
2;111;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
3;115;Liberty consists in doing what one desires
1;119;Entities should not be multiplied unnecessarily
4;119;Serious thinkers are few, and the world is ruled by crude ideas
2;124;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
3;129;The greatest happiness of the greatest number is the foundation of morals and legislation
4;133;Whatever is reasonable is true, and whatever is true is reasonable
1;135;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
2;135;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
3;144;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
4;148;That man is wisest who, like Socrates, realizes that his wisdom is worthless
1;152;One cannot step twice in the same river
2;152;Whereof one cannot speak, thereof one must be silent
3;159;Man is the measure of all things
4;163;In everything, there is a share of everything
2;167;The brave man is he who overcomes not only his enemies but his pleasures
1;171;I would never die for my beliefs because I might be wrong
3;175;Man is condemned to be free
4;179;The only thing I know is that I know nothing
2;182;The greatest happiness of the greatest number is the foundation of morals and legislation
1;183;All is for the best in the best of all possible worlds
