id; lamport; mensagem
6;1;It is undesirable to believe a proposition when there is no ground whatever for supposing it true
3;9;Philosophy is a battle against the bewitchment of our intelligence by means of language
7;9;The mind is furnished with ideas by experience alone
8;22;There is only one good, knowledge, and one evil, ignorance
5;24;The mind is furnished with ideas by experience alone
2;38;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
4;38;I would never die for my beliefs because I might be wrong
1;50;Man is the measure of all things
6;60;There is but one truly serious philosophical problem, and that is suicide
3;68;The unexamined life is not worth living
7;68;No man's knowledge here can go beyond his experience
8;83;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
5;90;The mind is furnished with ideas by experience alone
4;98;What is rational is actual and what is actual is rational
2;106;That man is wisest who, like Socrates, realizes that his wisdom is worthless
1;108;Man is born free, but is everywhere in chains
6;121;That man is wisest who, like Socrates, realizes that his wisdom is worthless
3;129;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
7;129;Is man merely a mistake of God's? Or God merely a mistake of man's
8;143;Happiness is the highest good
5;149;We are what we repeatedly do. Excellence, then, is not an act, but a habit
4;158;God is dead! He remains dead! And we have killed him
2;166;All that is necessary for the triumph of evil is that good men do nothing
1;172;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
6;181;Things alter for the worse spontaneously, if they be not altered for the better designedly
7;189;God is dead! He remains dead! And we have killed him
3;193;One cannot step twice in the same river
8;204;Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative
5;212;The brave man is he who overcomes not only his enemies but his pleasures
4;220;It is undesirable to believe a proposition when there is no ground whatever for supposing it true
1;228;Liberty consists in doing what one desires
2;228;I think therefore I am
6;243;Leisure is the mother of philosophy
7;251;Religion is the sign of the oppressed ... it is the opium of the people
3;257;All is for the best in the best of all possible worlds
8;266;Salvation not shared, is salvation wasted
5;274;Life must be understood backward. But it must be lived forward
4;282;He who thinks great thoughts, often makes great errors
1;290;Man is born free, but is everywhere in chains
2;298;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
6;306;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
7;314;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
3;322;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
8;330;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
5;338;History honors the unique minority the majority cannot forget
4;346;Virtue is nothing else than right reaso
1;354;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;362;Man is condemned to be free
6;370;That man is wisest who, like Socrates, realizes that his wisdom is worthless
7;378;No man's knowledge here can go beyond his experience
3;386;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
8;394;We live in the best of all possible worlds
5;402;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
4;410;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;418;Happiness is not an ideal of reason but of imagination
2;426;Nothing is as it seems, but something is everything it is made out to be
6;434;It is the job of thinking people not to be on the side of the executioners
7;442;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
3;450;You can discover more about a person in an hour of play than in a year of conversation
8;458;Whereof one cannot speak, thereof one must be silent
5;466;What is rational is actual and what is actual is rational
4;474;I would never die for my beliefs because I might be wrong
1;482;Happiness is not an ideal of reason but of imagination
2;490;Philosophy is a battle against the bewitchment of our intelligence by means of language
6;498;History is Philosophy teaching by examples
7;506;Is man merely a mistake of God's? Or God merely a mistake of man's
3;514;It is the job of thinking people not to be on the side of the executioners
8;522;If men were born free, they would, so long as they remained free, form no conception of good and evil
5;530;Entities should not be multiplied unnecessarily
4;538;Only weak thinkers do not love the sky
1;546;The function of prayer is not to influence God, but rather to change the nature of the one who prays
2;554;Whereof one cannot speak, thereof one must be silent
6;562;Man is born free, but is everywhere in chains
7;570;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
3;578;Salvation not shared, is salvation wasted
8;586;Things alter for the worse spontaneously, if they be not altered for the better designedly
5;594;We live in the best of all possible worlds
4;602;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
1;610;I think therefore I am
2;618;Even while they teach, men learn
6;626;Man is born free, but is everywhere in chains
7;634;I would never die for my beliefs because I might be wrong
3;642;Man is condemned to be free
8;644;Whatever is reasonable is true, and whatever is true is reasonable
5;656;Whereof one cannot speak, thereof one must be silent
4;665;Philosophy is a battle against the bewitchment of our intelligence by means of language
1;673;Whatever is reasonable is true, and whatever is true is reasonable
2;681;Nothing is as it seems, but something is everything it is made out to be
6;689;The mind is furnished with ideas by experience alon
7;697;Even while they teach, men learn
3;705;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
8;707;Leisure is the mother of philosophy
5;720;History is Philosophy teaching by examples
4;728;History honors the unique minority the majority cannot forget
1;736;All that is necessary for the triumph of evil is that good men do nothing
2;744;Religion is the sign of the oppressed ... it is the opium of the people
