id; lamport; mensagem
1;1;One cannot step twice in the same river
2;1;One cannot step twice in the same river
4;1;Whereof one cannot speak, thereof one must be silent
3;11;History is Philosophy teaching by examples
1;15;One cannot step twice in the same river
4;15;All is for the best in the best of all possible worlds
2;18;Science is what you know. Philosophy is what you don't know
3;21;The momentum of the mind can be vexingly, involuntarily capricious
1;28;Virtue is nothing else than right reaso
4;30;There is but one truly serious philosophical problem, and that is suicide
2;35;He who thinks great thoughts, often makes great errors
3;35;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
1;42;No man's knowledge here can go beyond his experience
2;46;Serious thinkers are few, and the world is ruled by crude ideas
4;46;We are too weak to discover the truth by reason alone
3;52;Only one man ever understood me, and he didnt understand me
1;56;Man will never be free until the last king is strangled with the entrails of the last priest
4;59;To be is to be perceived
2;60;The function of prayer is not to influence God, but rather to change the nature of the one who prays
3;63;All that is necessary for the triumph of evil is that good men do nothing
1;69;There is only one good, knowledge, and one evil, ignorance
2;70;In everything, there is a share of everything
4;75;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
3;80;The greater the difficulty, the more glory in surmounting it
1;84;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
2;84;All great thinkers are initially ridiculed  and eventually revered
4;90;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
3;91;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
1;97;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
4;100;Man is condemned to be free
2;101;All that is necessary for the triumph of evil is that good men do nothing
3;104;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
1;111;The mind is furnished with ideas by experience alon
2;115;Man is condemned to be free
4;118;We are what we repeatedly do. Excellence, then, is not an act, but a habit
3;120;The mind is furnished with ideas by experience alone
1;126;We live in the best of all possible worlds
2;130;The momentum of the mind can be vexingly, involuntarily capricious
4;134;The greater the difficulty, the more glory in surmounting it
3;138;We live in the best of all possible worlds
1;142;The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short
2;146;Religion is the sign of the oppressed ... it is the opium of the people
4;146;The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short
3;153;History honors the unique minority the majority cannot forget
1;157;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
2;161;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
4;161;The only thing I know is that I know nothing
3;168;History honors the unique minority the majority cannot forget
1;172;The only thing I know is that I know nothing
4;176;Science is what you know. Philosophy is what you don't know
2;178;Is man merely a mistake of God's? Or God merely a mistake of man's
3;179;Salvation not shared, is salvation wasted
1;186;You can discover more about a person in an hour of play than in a year of conversation
4;189;Leisure is the mother of philosophy
2;191;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
3;192;History is Philosophy teaching by examples
1;199;The mind is furnished with ideas by experience alone
4;202;It is the job of thinking people not to be on the side of the executioners
2;206;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
3;208;We live in the best of all possible worlds
1;213;Philosophy is a battle against the bewitchment of our intelligence by means of language
4;215;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
2;220;Only weak thinkers do not love the sky
3;223;Entities should not be multiplied unnecessarily
1;227;You can discover more about a person in an hour of play than in a year of conversation
4;230;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
2;232;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
3;237;All that is necessary for the triumph of evil is that good men do nothing
1;241;Nothing is as it seems, but something is everything it is made out to be
4;245;It is one thing to show a man that he is in error, and another to put him in possession of truth
2;249;It is one thing to show a man that he is in error, and another to put him in possession of truth
3;253;You can discover more about a person in an hour of play than in a year of conversation
1;257;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
4;257;It is undesirable to believe a proposition when there is no ground whatever for supposing it true
2;263;Salvation not shared, is salvation wasted
3;263;The unexamined life is not worth living
1;270;This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities
4;272;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
3;276;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
2;277;Even while they teach, men learn
1;284;The mind is furnished with ideas by experience alone
4;287;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
2;290;Only one man ever understood me, and he didnt understand me
3;290;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
1;298;The greater the difficulty, the more glory in surmounting it
2;302;One cannot step twice in the same river
4;302;The unexamined life is not worth living
3;304;The mind is furnished with ideas by experience alon
1;312;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
4;314;Happiness is the highest good
2;317;If men were born free, they would, so long as they remained free, form no conception of good and evil
3;318;The mind is furnished with ideas by experience alone
1;325;Man will never be free until the last king is strangled with the entrails of the last priest
4;328;Philosophy is a battle against the bewitchment of our intelligence by means of language
2;330;Only weak thinkers do not love the sky
3;331;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
1;338;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
3;342;Things alter for the worse spontaneously, if they be not altered for the better designedly
4;342;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
2;344;Man will never be free until the last king is strangled with the entrails of the last priest
1;352;Things alter for the worse spontaneously, if they be not altered for the better designedly
3;356;The momentum of the mind can be vexingly, involuntarily capricious
4;356;Whatever is reasonable is true, and whatever is true is reasonable
2;360;If God did not exist, it would be necessary to invent Him
1;366;Whatever is reasonable is true, and whatever is true is reasonable
4;369;To be is to be perceived
3;370;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
2;374;I think therefore I am
1;379;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
4;383;The only thing I know is that I know nothing
3;386;It is one thing to show a man that he is in error, and another to put him in possession of truth
2;388;There is but one truly serious philosophical problem, and that is suicide
1;394;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
4;398;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
2;402;Serious thinkers are few, and the world is ruled by crude ideas
3;402;What is rational is actual and what is actual is rational
1;409;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
4;413;All that is necessary for the triumph of evil is that good men do nothing
2;417;Even while they teach, men learn
3;419;The greater the difficulty, the more glory in surmounting it
1;425;Man will never be free until the last king is strangled with the entrails of the last priest
4;427;Happiness is the highest good
2;432;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
3;434;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
1;440;All that is necessary for the triumph of evil is that good men do nothing
4;444;Man will never be free until the last king is strangled with the entrails of the last priest
2;446;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
3;448;What is rational is actual and what is actual is rational
1;454;All is for the best in the best of all possible worlds
4;458;Virtue is nothing else than right reaso
2;462;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
3;464;Happiness is the highest good
1;469;Philosophy is at once the most sublime and the most trivial of human pursuits
4;473;Man is born free, but is everywhere in chains
2;477;The greater the difficulty, the more glory in surmounting it
3;480;The momentum of the mind can be vexingly, involuntarily capricious
1;484;I think therefore I am
4;487;It is one thing to show a man that he is in error, and another to put him in possession of truth
2;491;I think therefore I am
3;494;The brave man is he who overcomes not only his enemies but his pleasures
1;498;That man is wisest who, like Socrates, realizes that his wisdom is worthless
4;501;I would never die for my beliefs because I might be wrong
2;505;All great thinkers are initially ridiculed  and eventually revered
3;508;Happiness is not an ideal of reason but of imagination
1;512;Serious thinkers are few, and the world is ruled by crude ideas
2;516;The brave man is he who overcomes not only his enemies but his pleasures
4;516;Life must be understood backward. But it must be lived forward
3;523;Only weak thinkers do not love the sky
1;527;The brave man is he who overcomes not only his enemies but his pleasures
2;531;I can control my passions and emotions if I can understand their nature
4;531;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
3;538;Serious thinkers are few, and the world is ruled by crude ideas
1;542;We are too weak to discover the truth by reason alone
4;542;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
2;549;There is only one good, knowledge, and one evil, ignorance
3;551;If men were born free, they would, so long as they remained free, form no conception of good and evil
1;556;You can discover more about a person in an hour of play than in a year of conversation
2;558;The mind is furnished with ideas by experience alon
4;558;It is the job of thinking people not to be on the side of the executioners
3;566;The mind is furnished with ideas by experience alone
1;570;Life must be understood backward. But it must be lived forward
2;574;Things alter for the worse spontaneously, if they be not altered for the better designedly
3;574;Philosophy is a battle against the bewitchment of our intelligence by means of language
