id; lamport; mensagem
1;1;Man will never be free until the last king is strangled with the entrails of the last priest
2;1;Liberty consists in doing what one desires
1;4;If men were born free, they would, so long as they remained free, form no conception of good and evil
2;4;Philosophy is a battle against the bewitchment of our intelligence by means of language
2;7;We are too weak to discover the truth by reason alone
1;9;I would never die for my beliefs because I might be wrong
2;11;Religion is the sign of the oppressed ... it is the opium of the people
1;13;The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short
2;15;It is undesirable to believe a proposition when there is no ground whatever for supposing it true
1;17;The unexamined life is not worth living
2;19;If God did not exist, it would be necessary to invent Him
1;21;You can discover more about a person in an hour of play than in a year of conversation
2;23;The unexamined life is not worth living
1;25;Good and evil, reward and punishment, are the only motives to a rational creature
2;27;Salvation not shared, is salvation wasted
1;29;He who thinks great thoughts, often makes great errors
2;31;Man will never be free until the last king is strangled with the entrails of the last priest
1;33;Science is what you know. Philosophy is what you don't know
2;35;The mind is furnished with ideas by experience alon
1;37;Only one man ever understood me, and he didnt understand me
2;39;You can discover more about a person in an hour of play than in a year of conversation
1;41;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
2;43;Philosophy is at once the most sublime and the most trivial of human pursuits
1;45;You can discover more about a person in an hour of play than in a year of conversation
2;47;History honors the unique minority the majority cannot forget
1;49;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;51;Things alter for the worse spontaneously, if they be not altered for the better designedly
1;53;Religion is the sign of the oppressed ... it is the opium of the people
2;55;Life must be understood backward. But it must be lived forward
1;57;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
2;59;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
1;61;History is Philosophy teaching by examples
2;63;Entities should not be multiplied unnecessarily
1;65;Salvation not shared, is salvation wasted
2;67;Whatever is reasonable is true, and whatever is true is reasonable
1;69;Happiness is not an ideal of reason but of imagination
2;71;Man is condemned to be free
1;73;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
2;75;Science is what you know. Philosophy is what you don't know
1;77;Even while they teach, men learn
2;79;Is man merely a mistake of God's? Or God merely a mistake of man's
1;81;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
2;83;What is rational is actual and what is actual is rational
1;85;Only one man ever understood me, and he didnt understand me
2;87;The mind is furnished with ideas by experience alone
