id; lamport; mensagem
5;1;The brave man is he who overcomes not only his enemies but his pleasures
4;9;Salvation not shared, is salvation wasted
6;9;Whereof one cannot speak, thereof one must be silent
2;20;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
3;20;There is but one truly serious philosophical problem, and that is suicide
1;22;Even while they teach, men learn
8;32;If God did not exist, it would be necessary to invent Him
7;53;Liberty consists in doing what one desires
5;61;Only weak thinkers do not love the sky
4;69;Man is condemned to be free
6;77;The momentum of the mind can be vexingly, involuntarily capricious
2;83;We are what we repeatedly do. Excellence, then, is not an act, but a habit
3;84;It is one thing to show a man that he is in error, and another to put him in possession of truth
1;96;It is the job of thinking people not to be on the side of the executioners
8;105;Is man merely a mistake of God's? Or God merely a mistake of man's
7;113;The greater the difficulty, the more glory in surmounting it
5;121;Man is born free, but is everywhere in chains
4;129;The brave man is he who overcomes not only his enemies but his pleasures
6;137;All that is necessary for the triumph of evil is that good men do nothing
3;140;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
2;143;There is only one good, knowledge, and one evil, ignorance
1;159;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
8;166;Virtue is nothing else than right reaso
7;174;Good and evil, reward and punishment, are the only motives to a rational creature
5;182;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
4;190;Man is condemned to be free
6;198;History is Philosophy teaching by examples
3;202;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;206;Things alter for the worse spontaneously, if they be not altered for the better designedly
1;220;Whereof one cannot speak, thereof one must be silent
8;228;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
7;236;There is only one good, knowledge, and one evil, ignorance
5;244;The mind is furnished with ideas by experience alone
4;252;I think therefore I am
3;260;The unexamined life is not worth living
6;260;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
2;265;Only one man ever understood me, and he didnt understand me
1;282;One cannot step twice in the same river
8;290;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
