id; lamport; mensagem
1;1;You can discover more about a person in an hour of play than in a year of conversation
2;1;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
1;4;There is but one truly serious philosophical problem, and that is suicide
2;4;All great thinkers are initially ridiculed  and eventually revered
1;7;What is rational is actual and what is actual is rational
2;7;Entities should not be multiplied unnecessarily
1;10;If men were born free, they would, so long as they remained free, form no conception of good and evil
2;10;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
1;13;God is dead! He remains dead! And we have killed him
2;13;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
1;16;In everything, there is a share of everything
2;16;All that is necessary for the triumph of evil is that good men do nothing
1;19;Religion is the sign of the oppressed ... it is the opium of the people
2;19;The unexamined life is not worth living
1;22;If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things
2;22;Even while they teach, men learn
1;25;Entities should not be multiplied unnecessarily
2;27;Nothing is as it seems, but something is everything it is made out to be
1;29;The mind is furnished with ideas by experience alone
2;31;If men were born free, they would, so long as they remained free, form no conception of good and evil
1;33;Virtue is nothing else than right reaso
2;35;If men were born free, they would, so long as they remained free, form no conception of good and evil
1;37;What is rational is actual and what is actual is rational
2;39;I think therefore I am
1;41;Man is condemned to be free
2;43;Whereof one cannot speak, thereof one must be silent
1;45;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
2;47;We are too weak to discover the truth by reason alone
1;49;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
2;51;The greatest happiness of the greatest number is the foundation of morals and legislation
1;53;Entities should not be multiplied unnecessarily
2;55;Philosophy is a battle against the bewitchment of our intelligence by means of language
1;57;We are too weak to discover the truth by reason alone
2;59;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
1;61;No man's knowledge here can go beyond his experience
2;63;If men were born free, they would, so long as they remained free, form no conception of good and evil
1;65;You can discover more about a person in an hour of play than in a year of conversation
2;67;The mind is furnished with ideas by experience alon
1;69;We are too weak to discover the truth by reason alone
2;71;I can control my passions and emotions if I can understand their nature
1;73;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;75;Serious thinkers are few, and the world is ruled by crude ideas
1;77;History is Philosophy teaching by examples
2;79;This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities
1;81;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;83;Man is condemned to be free
1;85;No man's knowledge here can go beyond his experience
2;87;Whereof one cannot speak, thereof one must be silent
1;89;Is man merely a mistake of God's? Or God merely a mistake of man's
2;91;Things alter for the worse spontaneously, if they be not altered for the better designedly
1;93;God is dead! He remains dead! And we have killed him
2;95;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
1;97;If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things
2;99;In everything, there is a share of everything
1;101;No man's knowledge here can go beyond his experience
2;103;Man is the measure of all things
1;105;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
2;107;We are what we repeatedly do. Excellence, then, is not an act, but a habit
1;109;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
2;111;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
