id; lamport; mensagem
1;1;It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence
2;5;Things alter for the worse spontaneously, if they be not altered for the better designedly
4;9;If men were born free, they would, so long as they remained free, form no conception of good and evil
3;13;Only weak thinkers do not love the sky
1;17;Happiness is the highest good
2;21;Nothing is as it seems, but something is everything it is made out to be
4;25;History is Philosophy teaching by examples
3;29;We are what we repeatedly do. Excellence, then, is not an act, but a habit
1;33;If God did not exist, it would be necessary to invent Him
2;37;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
4;41;Salvation not shared, is salvation wasted
3;45;Philosophy is at once the most sublime and the most trivial of human pursuits
1;49;Philosophy is a battle against the bewitchment of our intelligence by means of language
2;53;I think therefore I am
4;57;Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative
3;61;To be is to be perceived
1;65;I can control my passions and emotions if I can understand their nature
2;69;Philosophy is a battle against the bewitchment of our intelligence by means of language
4;73;Only one man ever understood me, and he didnt understand me
3;77;There is only one good, knowledge, and one evil, ignorance
1;81;The greater the difficulty, the more glory in surmounting it
2;85;It is one thing to show a man that he is in error, and another to put him in possession of truth
4;89;Is man merely a mistake of God's? Or God merely a mistake of man's
3;93;I think therefore I am
1;97;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
2;101;I think therefore I am
4;105;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
3;109;Man is born free, but is everywhere in chains
1;113;In everything, there is a share of everything
2;117;Happiness is not an ideal of reason but of imagination
4;121;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
3;125;We live in the best of all possible worlds
1;129;The momentum of the mind can be vexingly, involuntarily capricious
2;133;History is Philosophy teaching by examples
4;137;The greater the difficulty, the more glory in surmounting it
3;141;Man is condemned to be free
1;145;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;149;Happiness is not an ideal of reason but of imagination
4;153;What is rational is actual and what is actual is rational
3;157;Liberty consists in doing what one desires
1;161;All that is necessary for the triumph of evil is that good men do nothing
2;165;Whatever is reasonable is true, and whatever is true is reasonable
4;169;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
3;173;In everything, there is a share of everything
1;177;Is man merely a mistake of God's? Or God merely a mistake of man's
2;181;Liberty consists in doing what one desires
4;185;The mind is furnished with ideas by experience alone
3;189;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
1;193;The brave man is he who overcomes not only his enemies but his pleasures
2;197;Even while they teach, men learn
4;201;I can control my passions and emotions if I can understand their nature
3;205;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
1;209;The greatest happiness of the greatest number is the foundation of morals and legislation
2;213;He who thinks great thoughts, often makes great errors
4;217;All is for the best in the best of all possible worlds
3;221;If men were born free, they would, so long as they remained free, form no conception of good and evil
1;225;Virtue is nothing else than right reaso
2;229;Is man merely a mistake of God's? Or God merely a mistake of man's
4;233;Religion is the sign of the oppressed ... it is the opium of the people
3;237;If God did not exist, it would be necessary to invent Him
1;241;Only one man ever understood me, and he didnt understand me
2;245;The unexamined life is not worth living
4;249;Philosophy is at once the most sublime and the most trivial of human pursuits
3;253;The mind is furnished with ideas by experience alone
1;257;Religion is the sign of the oppressed ... it is the opium of the people
2;261;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
4;265;I would never die for my beliefs because I might be wrong
3;269;Man will never be free until the last king is strangled with the entrails of the last priest
1;273;There is but one truly serious philosophical problem, and that is suicide
2;277;There is but one truly serious philosophical problem, and that is suicide
4;281;The mind is furnished with ideas by experience alon
3;285;History honors the unique minority the majority cannot forget
1;289;Nothing is as it seems, but something is everything it is made out to be
2;293;Whatever is reasonable is true, and whatever is true is reasonable
4;297;Philosophy is a battle against the bewitchment of our intelligence by means of language
3;301;Science is what you know. Philosophy is what you don't know
1;305;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
2;309;We are too weak to discover the truth by reason alone
4;313;Entities should not be multiplied unnecessarily
3;316;Science is what you know. Philosophy is what you don't know
1;320;There is only one good, knowledge, and one evil, ignorance
2;324;Leisure is the mother of philosophy
4;328;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
3;331;Philosophy is a battle against the bewitchment of our intelligence by means of language
1;335;This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities
2;339;All that is necessary for the triumph of evil is that good men do nothing
4;343;The mind is furnished with ideas by experience alone
3;347;The function of prayer is not to influence God, but rather to change the nature of the one who prays
1;351;History is Philosophy teaching by examples
2;355;It is undesirable to believe a proposition when there is no ground whatever for supposing it true
4;359;Philosophy is at once the most sublime and the most trivial of human pursuits
3;362;Man is the measure of all things
1;366;The mind is furnished with ideas by experience alon
2;370;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
4;374;I dont know why we are here, but Im pretty sure it is not in order to enjoy ourselves
3;376;Life must be understood backward. But it must be lived forward
1;381;All is for the best in the best of all possible worlds
2;385;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
4;389;Man is the measure of all things
3;393;God is dead! He remains dead! And we have killed him
1;397;God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us
2;401;The greatest happiness of the greatest number is the foundation of morals and legislation
4;405;The unexamined life is not worth living
3;409;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
1;413;Happiness is not an ideal of reason but of imagination
2;417;The mind is furnished with ideas by experience alon
4;421;The greatest happiness of the greatest number is the foundation of morals and legislation
3;425;I think therefore I am
1;429;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
2;433;The unexamined life is not worth living
4;437;Leisure is the mother of philosophy
3;439;All is for the best in the best of all possible worlds
1;444;The momentum of the mind can be vexingly, involuntarily capricious
2;448;To be is to be perceived
4;452;Philosophy is at once the most sublime and the most trivial of human pursuits
3;456;Salvation not shared, is salvation wasted
1;460;The brave man is he who overcomes not only his enemies but his pleasures
2;464;I can control my passions and emotions if I can understand their nature
4;468;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
3;471;Life must be understood backward. But it must be lived forward
1;475;There is only one good, knowledge, and one evil, ignorance
2;479;If you were born with the ability to change someones perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give the ability to influence
4;483;The function of prayer is not to influence God, but rather to change the nature of the one who prays
3;487;Things alter for the worse spontaneously, if they be not altered for the better designedly
1;491;Whereof one cannot speak, thereof one must be silent
2;495;Leisure is the mother of philosophy
4;499;Philosophy is at once the most sublime and the most trivial of human pursuits
3;503;Leisure is the mother of philosophy
1;507;Good and evil, reward and punishment, are the only motives to a rational creature
2;511;Life must be understood backward. But it must be lived forward
4;515;He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god
3;518;Leisure is the mother of philosophy
1;522;Never hide things from hardcore thinkers. They get more aggravated, more provoked by confusion than the most painful truths
2;526;Religion is the sign of the oppressed ... it is the opium of the people
4;529;The greater the difficulty, the more glory in surmounting it
3;531;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
1;536;Nobody who says as little as he does is as simple as you'd think. It takes a lot to not say a lot, because when you're not talking, you're thinking, and he thinks a lot. My mum and dad talked all the time. Talkers don't think much; their words drown out any possibility of hearing their subconscious asking, Why did you say that? What do you really think
2;540;The greatest happiness of the greatest number is the foundation of morals and legislation
3;544;What is rational is actual and what is actual is rational
4;544;Is man merely a mistake of God's? Or God merely a mistake of man's
1;551;I would never die for my beliefs because I might be wrong
2;555;Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it
3;559;Virtue is nothing else than right reaso
4;559;To do as one would be done by, and to love one's neighbour as oneself, constitute the ideal perfection of utilitarian morality
1;566;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;570;All that is necessary for the triumph of evil is that good men do nothing
4;574;Only one man ever understood me, and he didnt understand me
3;577;All is for the best in the best of all possible worlds
1;581;The momentum of the mind can be vexingly, involuntarily capricious
2;585;In everything, there is a share of everything
4;589;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
3;593;Only one man ever understood me, and he didnt understand me
