id; lamport; mensagem
4;1;Whereof one cannot speak, thereof one must be silent
2;5;The mind is furnished with ideas by experience alone
3;5;Science is what you know. Philosophy is what you don't know
1;12;If God did not exist, it would be necessary to invent Him
4;16;The unexamined life is not worth living
3;20;We are what we repeatedly do. Excellence, then, is not an act, but a habit
2;23;If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things
1;26;No man's knowledge here can go beyond his experience
4;30;In everything, there is a share of everything
3;34;The unexamined life is not worth living
2;38;History is Philosophy teaching by examples
1;40;Liberty consists in doing what one desires
4;45;The greatest happiness of the greatest number is the foundation of morals and legislation
3;49;Is man merely a mistake of God's? Or God merely a mistake of man's
2;53;Serious thinkers are few, and the world is ruled by crude ideas
1;56;The greatest happiness of the greatest number is the foundation of morals and legislation
4;60;Happiness is not an ideal of reason but of imagination
3;64;In everything, there is a share of everything
2;68;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
1;72;Man will never be free until the last king is strangled with the entrails of the last priest
4;76;Even while they teach, men learn
3;80;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
2;83;Happiness is the highest good
1;87;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
4;91;The unexamined life is not worth living
3;95;It is one thing to show a man that he is in error, and another to put him in possession of truth
2;99;I would never die for my beliefs because I might be wrong
1;103;Man will never be free until the last king is strangled with the entrails of the last priest
4;107;Entities should not be multiplied unnecessarily
3;111;The only thing I know is that I know nothing
2;115;The only thing I know is that I know nothing
1;119;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
4;123;Science is what you know. Philosophy is what you don't know
3;127;History honors the unique minority the majority cannot forget
2;131;You can discover more about a person in an hour of play than in a year of conversation
1;135;Freedom is secured not by the fulfilling of one's desires, but by the removal of desire
4;139;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
3;143;Is man merely a mistake of God's? Or God merely a mistake of man's
2;147;The greatest happiness of the greatest number is the foundation of morals and legislation
1;151;All is for the best in the best of all possible worlds
4;155;Man is the measure of all things
3;159;Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative
2;163;No man's knowledge here can go beyond his experience
1;167;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
4;171;Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness
3;175;There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers
2;179;Serious thinkers are few, and the world is ruled by crude ideas
1;183;Is man merely a mistake of God's? Or God merely a mistake of man's
4;187;In everything, there is a share of everything
3;191;Good and evil, reward and punishment, are the only motives to a rational creature
2;195;In everything, there is a share of everything
1;199;The momentum of the mind can be vexingly, involuntarily capricious
4;203;This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities
3;207;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
2;211;One cannot step twice in the same river
1;215;Everything that exists is born for no reason, carries on living through weakness, and dies by accident
4;219;He who thinks great thoughts, often makes great errors
3;223;The unexamined life is not worth living
2;227;Entities should not be multiplied unnecessarily
1;231;You can discover more about a person in an hour of play than in a year of conversation
4;235;A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth mens minds about to religion
3;239;The momentum of the mind can be vexingly, involuntarily capricious
2;243;This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities
1;247;One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another
4;251;Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck
3;255;History honors the unique minority the majority cannot forget
